now,event,power,voltage,current,resistance,temperature,steady-state-count,filtered-delta
977.502,timerEvent,49.93,10.83,4.61,2.349,182.7,0,-0.054377
980.002,timerEvent,49.93,10.83,4.61,2.349,182.7,0,-0.012152
982.502,timerEvent,49.88,10.82,4.61,2.347,182.3,0,-0.010937
985.001,timerEvent,49.93,10.83,4.61,2.349,182.7,0,-0.046631
987.502,timerEvent,49.93,10.83,4.61,2.349,182.7,0,-0.005180
990.001,timerEvent,49.93,10.83,4.61,2.349,182.7,0,-0.004662
992.501,timerEvent,49.93,10.83,4.61,2.349,182.7,0,-0.004196
995.002,timerEvent,49.77,10.82,4.60,2.352,183.2,0,-0.003776
997.502,timerEvent,49.82,10.83,4.60,2.354,183.6,0,0.046345
1000.002,timerEvent,49.82,10.83,4.60,2.354,183.6,0,0.078578
1002.502,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.070720
1005.002,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.026780
1007.502,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.024102
1010.002,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.021692
1012.501,timerEvent,49.82,10.83,4.60,2.354,183.6,0,0.019523
1015.001,timerEvent,49.82,10.83,4.60,2.354,183.6,0,0.054438
1017.502,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.048994
1020.002,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.007227
1022.502,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.006505
1025.001,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.005854
1027.502,timerEvent,49.82,10.83,4.60,2.354,183.6,0,0.005269
1030.002,timerEvent,49.77,10.82,4.60,2.352,183.2,0,0.041609
1032.501,timerEvent,49.82,10.83,4.60,2.354,183.6,1,0.000581
1035.002,timerEvent,49.82,10.83,4.60,2.354,183.6,0,0.037390
1037.501,timerEvent,49.82,10.83,4.60,2.354,183.6,0,0.033651
