now,stage,power,voltage,current,resistance,temperature,last.power,last.voltage,last.current,last.resistance,last.temperature
422.502,,29.75,7.55,3.94,1.916,59.1,29.82,7.55,3.95,1.911,58.4
425.001,,29.86,7.56,3.95,1.914,58.8,29.75,7.55,3.94,1.916,59.1
427.502,,29.75,7.55,3.94,1.916,59.1,29.86,7.56,3.95,1.914,58.8
430.002,,29.79,7.56,3.94,1.919,59.5,29.75,7.55,3.94,1.916,59.1
432.501,,29.83,7.57,3.94,1.921,59.9,29.79,7.56,3.94,1.919,59.5
435.002,,29.87,7.58,3.94,1.924,60.3,29.83,7.57,3.94,1.921,59.9
437.502,,29.87,7.58,3.94,1.924,60.3,29.87,7.58,3.94,1.924,60.3
440.002,,29.87,7.58,3.94,1.924,60.3,29.87,7.58,3.94,1.924,60.3
442.501,,29.87,7.58,3.94,1.924,60.3,29.87,7.58,3.94,1.924,60.3
445.002,,29.79,7.58,3.93,1.929,61.0,29.87,7.58,3.94,1.924,60.3
447.501,,29.79,7.58,3.93,1.929,61.0,29.79,7.58,3.93,1.929,61.0
450.002,,29.79,7.58,3.93,1.929,61.0,29.79,7.58,3.93,1.929,61.0
452.502,,29.79,7.58,3.93,1.929,61.0,29.79,7.58,3.93,1.929,61.0
455.002,,29.71,7.58,3.92,1.934,61.8,29.79,7.58,3.93,1.929,61.0
457.502,,29.83,7.59,3.93,1.931,61.4,29.71,7.58,3.92,1.934,61.8
460.002,,29.83,7.59,3.93,1.931,61.4,29.83,7.59,3.93,1.931,61.4
462.502,,29.83,7.59,3.93,1.931,61.4,29.83,7.59,3.93,1.931,61.4
465.002,,29.75,7.59,3.92,1.936,62.2,29.83,7.59,3.93,1.931,61.4
467.502,,29.87,7.60,3.93,1.934,61.8,29.75,7.59,3.92,1.936,62.2
470.002,,29.75,7.59,3.92,1.936,62.2,29.87,7.60,3.93,1.934,61.8
472.502,,29.79,7.60,3.92,1.939,62.6,29.75,7.59,3.92,1.936,62.2
475.002,,29.79,7.60,3.92,1.939,62.6,29.79,7.60,3.92,1.939,62.6
477.502,,29.79,7.60,3.92,1.939,62.6,29.79,7.60,3.92,1.939,62.6
