now,event,power,voltage,current,resistance,temperature,stage,raw-voltage,raw-current,steady-state-count,filtered-delta,sample-count
556.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,216
558.002,timerEvent,2.491,2.004,1.243,1.61225,73.7,bangBang,2.00,1.25,0,0.000000,217
560.002,timerEvent,106.083,13.262,7.999,1.65799,82.4,bangBang,13.31,8.00,0,0.000000,218
562.002,timerEvent,2.463,2.014,1.223,1.64681,80.3,bangBang,2.01,1.23,0,0.000000,219
564.000,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,220
566.002,timerEvent,2.471,2.004,1.233,1.62536,76.2,bangBang,2.00,1.24,0,0.000000,221
568.002,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,222
570.002,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,223
572.002,timerEvent,2.491,2.004,1.243,1.61225,73.7,bangBang,2.00,1.25,0,0.000000,224
574.001,timerEvent,105.471,13.252,7.959,1.66512,83.8,bangBang,13.30,7.96,0,0.000000,225
576.002,timerEvent,2.387,1.984,1.203,1.64951,80.8,bangBang,1.98,1.21,0,0.000000,226
578.000,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,227
580.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,228
582.002,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,229
584.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,230
586.002,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,231
588.002,timerEvent,2.471,2.004,1.233,1.62536,76.2,bangBang,2.00,1.24,0,0.000000,232
590.002,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,233
592.001,timerEvent,2.471,2.004,1.233,1.62536,76.2,bangBang,2.00,1.24,0,0.000000,234
594.001,timerEvent,2.471,2.004,1.233,1.62536,76.2,bangBang,2.00,1.24,0,0.000000,235
596.001,timerEvent,2.483,2.014,1.233,1.63342,77.7,bangBang,2.01,1.24,0,0.000000,236
598.001,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,237
