now,event,power,voltage,current,resistance,temperature,stage,raw-current,raw-voltage,steady-state-count,filtered-delta
172.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
174.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
176.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
178.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
180.001,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
182.002,timerEvent,106.557,13.807,7.718,1.78907,108.6,bangBang,7.72,13.86,0,0.000000
184.001,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
186.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
188.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
190.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
192.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
194.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
196.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
198.002,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
200.001,timerEvent,106.696,13.807,7.728,1.78674,108.2,bangBang,7.73,13.86,0,0.000000
202.001,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
204.002,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
206.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
208.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
210.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
212.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
214.002,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
216.002,timerEvent,106.835,13.807,7.738,1.78442,107.7,bangBang,7.74,13.86,0,0.000000
218.001,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
220.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
222.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
224.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
226.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
228.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
230.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
232.002,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
234.001,timerEvent,106.758,13.797,7.738,1.78314,107.5,bangBang,7.74,13.85,0,0.000000
236.001,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
238.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
240.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
242.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
244.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
246.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
248.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
250.001,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
252.002,timerEvent,106.835,13.807,7.738,1.78442,107.7,bangBang,7.74,13.86,0,0.000000
254.001,timerEvent,5.094,3.007,1.694,1.77496,105.9,bangBang,1.70,3.01,0,0.000000
256.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
258.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
260.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
262.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
264.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
266.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
268.002,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
270.002,timerEvent,106.696,13.807,7.728,1.78674,108.2,bangBang,7.73,13.86,0,0.000000
272.001,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
274.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
276.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
278.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
280.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
282.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
284.002,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
286.001,timerEvent,106.835,13.807,7.738,1.78442,107.7,bangBang,7.74,13.86,0,0.000000
288.001,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
290.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
292.002,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
294.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
296.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
298.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
300.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
302.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
304.001,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
306.002,timerEvent,106.481,13.797,7.718,1.78778,108.4,bangBang,7.72,13.85,0,0.000000
308.001,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
310.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
312.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
314.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
316.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
318.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
320.002,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
322.001,timerEvent,106.835,13.807,7.738,1.78442,107.7,bangBang,7.74,13.86,0,0.000000
324.001,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
326.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
328.002,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
330.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
332.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
334.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
336.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
338.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
340.001,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
342.001,timerEvent,107.174,13.797,7.768,1.77622,106.2,bangBang,7.77,13.85,0,0.000000
344.002,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
346.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
348.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
350.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
352.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
354.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
356.001,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
358.001,timerEvent,106.557,13.807,7.718,1.78907,108.6,bangBang,7.72,13.86,0,0.000000
360.001,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
362.002,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
364.002,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
366.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
368.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
370.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
372.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
374.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
376.001,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
378.001,timerEvent,106.758,13.797,7.738,1.78314,107.5,bangBang,7.74,13.85,0,0.000000
380.001,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
382.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
384.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
386.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
388.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
390.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
392.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
394.001,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
396.002,timerEvent,106.758,13.797,7.738,1.78314,107.5,bangBang,7.74,13.85,0,0.000000
398.002,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
400.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
402.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
404.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
406.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
408.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
410.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
412.001,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
414.002,timerEvent,106.835,13.807,7.738,1.78442,107.7,bangBang,7.74,13.86,0,0.000000
416.001,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
418.001,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
420.002,timerEvent,5.107,2.997,1.704,1.75864,102.8,bangBang,1.71,3.00,0,0.000000
422.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
424.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
426.002,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
428.001,timerEvent,5.137,2.997,1.714,1.74835,100.8,bangBang,1.72,3.00,0,0.000000
430.001,timerEvent,5.167,2.997,1.724,1.73817,98.9,bangBang,1.73,3.00,0,0.000000
432.002,timerEvent,106.557,13.807,7.718,1.78907,108.6,bangBang,7.72,13.86,0,0.000000
434.001,timerEvent,5.077,2.997,1.694,1.76906,104.8,bangBang,1.70,3.00,0,0.000000
