now,event,power,voltage,current,resistance,temperature,steady-state-count
352.501,timerEvent,49.85,10.32,4.83,2.137,146.6,0
355.001,timerEvent,49.64,10.32,4.81,2.146,148.1,0
357.502,timerEvent,49.69,10.33,4.81,2.148,148.5,0
360.002,timerEvent,49.89,10.35,4.82,2.147,148.4,0
362.502,timerEvent,49.68,10.35,4.80,2.156,150.0,0
365.002,timerEvent,49.83,10.36,4.81,2.154,149.6,0
367.502,timerEvent,49.73,10.36,4.80,2.158,150.3,0
370.002,timerEvent,49.94,10.36,4.82,2.149,148.8,0
372.502,timerEvent,49.63,10.34,4.80,2.154,149.6,0
375.002,timerEvent,49.73,10.36,4.80,2.158,150.3,0
377.502,timerEvent,49.62,10.36,4.79,2.163,151.1,0
380.002,timerEvent,49.67,10.37,4.79,2.165,151.4,0
382.503,timerEvent,49.82,10.38,4.80,2.163,151.0,0
385.002,timerEvent,49.72,10.38,4.79,2.167,151.8,0
387.502,timerEvent,49.72,10.38,4.79,2.167,151.8,0
390.002,timerEvent,49.62,10.38,4.78,2.172,152.6,0
392.502,timerEvent,49.71,10.40,4.78,2.176,153.3,0
395.002,timerEvent,49.66,10.41,4.77,2.182,154.4,0
397.502,timerEvent,49.70,10.42,4.77,2.184,154.8,0
400.002,timerEvent,49.90,10.44,4.78,2.184,154.7,0
402.502,timerEvent,49.80,10.44,4.77,2.189,155.5,0
405.002,timerEvent,50.06,10.45,4.79,2.182,154.3,0
407.502,timerEvent,49.81,10.42,4.78,2.180,154.0,0
410.001,timerEvent,49.81,10.42,4.78,2.180,154.0,0
412.502,timerEvent,49.81,10.42,4.78,2.180,154.0,0
415.002,timerEvent,49.81,10.42,4.78,2.180,154.0,0
417.502,timerEvent,49.81,10.42,4.78,2.180,154.0,0
420.002,timerEvent,49.70,10.42,4.77,2.184,154.8,0
422.502,timerEvent,49.80,10.44,4.77,2.189,155.5,0
425.002,timerEvent,49.95,10.45,4.78,2.186,155.0,0
427.502,timerEvent,49.80,10.44,4.77,2.189,155.5,0
430.001,timerEvent,49.85,10.45,4.77,2.191,155.8,0
432.502,timerEvent,49.85,10.45,4.77,2.191,155.8,0
435.002,timerEvent,49.85,10.45,4.77,2.191,155.8,0
437.503,timerEvent,49.74,10.45,4.76,2.195,156.6,0
440.002,timerEvent,49.74,10.45,4.76,2.195,156.6,0
442.502,timerEvent,49.74,10.45,4.76,2.195,156.6,0
445.002,timerEvent,49.64,10.45,4.75,2.200,157.4,0
447.502,timerEvent,49.84,10.47,4.76,2.200,157.3,0
450.002,timerEvent,49.84,10.47,4.76,2.200,157.3,0
452.502,timerEvent,49.73,10.47,4.75,2.204,158.1,0
455.002,timerEvent,49.78,10.48,4.75,2.206,158.5,0
457.501,timerEvent,49.93,10.49,4.76,2.204,158.0,0
460.002,timerEvent,49.78,10.48,4.75,2.206,158.5,0
462.502,timerEvent,49.83,10.49,4.75,2.208,158.8,0
465.002,timerEvent,49.83,10.49,4.75,2.208,158.8,0
467.502,timerEvent,49.72,10.49,4.74,2.213,159.6,0
470.002,timerEvent,49.72,10.49,4.74,2.213,159.6,0
472.502,timerEvent,49.72,10.49,4.74,2.213,159.6,0
475.002,timerEvent,49.72,10.49,4.74,2.213,159.6,0
477.502,timerEvent,49.62,10.49,4.73,2.218,160.4,0
480.002,timerEvent,49.86,10.52,4.74,2.219,160.7,0
482.502,timerEvent,49.86,10.52,4.74,2.219,160.7,0
485.002,timerEvent,49.86,10.52,4.74,2.219,160.7,0
487.502,timerEvent,49.76,10.52,4.73,2.224,161.5,0
490.002,timerEvent,49.91,10.53,4.74,2.222,161.0,0
492.502,timerEvent,49.76,10.52,4.73,2.224,161.5,0
495.002,timerEvent,49.81,10.53,4.73,2.226,161.8,0
497.502,timerEvent,49.81,10.53,4.73,2.226,161.8,0
500.002,timerEvent,49.81,10.53,4.73,2.226,161.8,0
502.502,timerEvent,49.70,10.53,4.72,2.231,162.6,0
505.002,timerEvent,49.85,10.54,4.73,2.228,162.2,0
507.502,timerEvent,49.70,10.53,4.72,2.231,162.6,0
510.000,timerEvent,49.75,10.54,4.72,2.233,163.0,0
512.502,timerEvent,49.75,10.54,4.72,2.233,163.0,0
515.002,timerEvent,49.75,10.54,4.72,2.233,163.0,0
517.502,timerEvent,49.75,10.54,4.72,2.233,163.0,0
520.002,timerEvent,49.64,10.54,4.71,2.238,163.8,0
522.502,timerEvent,49.84,10.56,4.72,2.237,163.7,0
525.002,timerEvent,49.74,10.56,4.71,2.242,164.5,0
527.502,timerEvent,49.89,10.57,4.72,2.239,164.1,0
530.002,timerEvent,49.78,10.57,4.71,2.244,164.9,0
532.502,timerEvent,49.78,10.57,4.71,2.244,164.9,0
535.002,timerEvent,49.68,10.57,4.70,2.249,165.7,0
537.502,timerEvent,49.77,10.59,4.70,2.253,166.4,0
540.002,timerEvent,49.82,10.60,4.70,2.255,166.8,0
542.502,timerEvent,49.71,10.60,4.69,2.260,167.6,0
545.002,timerEvent,49.76,10.61,4.69,2.262,167.9,0
547.502,timerEvent,49.65,10.61,4.68,2.267,168.8,0
550.002,timerEvent,49.81,10.62,4.69,2.264,168.3,0
552.502,timerEvent,49.75,10.63,4.68,2.271,169.5,0
555.002,timerEvent,49.90,10.64,4.69,2.269,169.0,0
557.502,timerEvent,49.90,10.64,4.69,2.269,169.0,0
560.002,timerEvent,49.90,10.64,4.69,2.269,169.0,0
562.502,timerEvent,49.90,10.64,4.69,2.269,169.0,0
565.002,timerEvent,49.90,10.64,4.69,2.269,169.0,0
567.501,timerEvent,49.80,10.64,4.68,2.274,169.9,0
570.001,timerEvent,49.95,10.65,4.69,2.271,169.4,0
572.502,timerEvent,49.80,10.64,4.68,2.274,169.9,0
575.001,timerEvent,49.95,10.65,4.69,2.271,169.4,0
577.502,timerEvent,49.80,10.64,4.68,2.274,169.9,0
580.002,timerEvent,49.84,10.65,4.68,2.276,170.2,0
582.501,timerEvent,49.84,10.65,4.68,2.276,170.2,0
585.002,timerEvent,49.84,10.65,4.68,2.276,170.2,0
587.502,timerEvent,49.84,10.65,4.68,2.276,170.2,0
590.002,timerEvent,49.84,10.65,4.68,2.276,170.2,0
592.502,timerEvent,49.84,10.65,4.68,2.276,170.2,0
595.002,timerEvent,49.84,10.65,4.68,2.276,170.2,0
597.502,timerEvent,49.84,10.65,4.68,2.276,170.2,0
600.002,timerEvent,49.84,10.65,4.68,2.276,170.2,0
602.502,timerEvent,49.84,10.65,4.68,2.276,170.2,0
605.002,timerEvent,49.84,10.65,4.68,2.276,170.2,0
607.502,timerEvent,49.74,10.65,4.67,2.281,171.0,0
610.002,timerEvent,49.74,10.65,4.67,2.281,171.0,0
612.502,timerEvent,49.74,10.65,4.67,2.281,171.0,0
615.002,timerEvent,49.74,10.65,4.67,2.281,171.0,0
617.501,timerEvent,49.63,10.65,4.66,2.285,171.9,0
620.002,timerEvent,49.78,10.66,4.67,2.283,171.4,0
622.502,timerEvent,49.78,10.66,4.67,2.283,171.4,0
625.002,timerEvent,49.68,10.66,4.66,2.288,172.2,0
627.502,timerEvent,49.88,10.68,4.67,2.287,172.1,0
630.001,timerEvent,49.77,10.68,4.66,2.292,173.0,0
632.502,timerEvent,49.82,10.69,4.66,2.294,173.3,0
635.002,timerEvent,49.82,10.69,4.66,2.294,173.3,0
637.502,timerEvent,49.71,10.69,4.65,2.299,174.2,0
640.002,timerEvent,49.86,10.70,4.66,2.296,173.7,0
642.502,timerEvent,49.82,10.69,4.66,2.294,173.3,0
645.002,timerEvent,49.82,10.69,4.66,2.294,173.3,0
647.502,timerEvent,49.71,10.69,4.65,2.299,174.2,0
650.002,timerEvent,49.65,10.70,4.64,2.306,175.4,0
652.502,timerEvent,49.80,10.71,4.65,2.303,174.9,0
655.002,timerEvent,49.74,10.72,4.64,2.310,176.1,0
657.502,timerEvent,49.89,10.73,4.65,2.308,175.6,0
660.002,timerEvent,49.89,10.73,4.65,2.308,175.6,0
662.502,timerEvent,49.89,10.73,4.65,2.308,175.6,0
665.002,timerEvent,49.89,10.73,4.65,2.308,175.6,0
667.502,timerEvent,49.79,10.73,4.64,2.313,176.5,0
670.002,timerEvent,49.94,10.74,4.65,2.310,176.0,0
672.502,timerEvent,49.89,10.73,4.65,2.308,175.6,0
675.002,timerEvent,49.89,10.73,4.65,2.308,175.6,0
677.502,timerEvent,49.79,10.73,4.64,2.313,176.5,0
680.002,timerEvent,49.94,10.74,4.65,2.310,176.0,0
682.502,timerEvent,49.79,10.73,4.64,2.313,176.5,0
685.002,timerEvent,49.94,10.74,4.65,2.310,176.0,0
687.502,timerEvent,49.79,10.73,4.64,2.313,176.5,0
690.002,timerEvent,49.94,10.74,4.65,2.310,176.0,0
692.502,timerEvent,49.79,10.73,4.64,2.313,176.5,0
695.002,timerEvent,49.94,10.74,4.65,2.310,176.0,0
697.501,timerEvent,49.79,10.73,4.64,2.313,176.5,0
700.002,timerEvent,49.94,10.74,4.65,2.310,176.0,0
702.502,timerEvent,49.79,10.73,4.64,2.313,176.5,0
705.001,timerEvent,49.94,10.74,4.65,2.310,176.0,0
707.502,timerEvent,49.79,10.73,4.64,2.313,176.5,0
710.002,timerEvent,49.83,10.74,4.64,2.315,176.8,0
712.502,timerEvent,49.83,10.74,4.64,2.315,176.8,0
715.002,timerEvent,49.83,10.74,4.64,2.315,176.8,0
717.502,timerEvent,49.83,10.74,4.64,2.315,176.8,0
720.002,timerEvent,49.73,10.74,4.63,2.320,177.7,0
722.502,timerEvent,49.73,10.74,4.63,2.320,177.7,0
725.002,timerEvent,49.73,10.74,4.63,2.320,177.7,0
