Ambient temperature [26] 24.5
Current hotplate temperature [24.5] 
Current hotplate temperature [24.5] 
now,power,voltage,current,resistance,temperature
111.00058221817,28.8575,6.79,4.25,1.59764705882353,62.7588235294118
112.500809669495,28.7896,6.79,4.24,1.60141509433962,63.455525606469
114.001132488251,28.7896,6.79,4.24,1.60141509433962,63.455525606469
115.5009329319,28.6794,6.78,4.23,1.60283687943262,63.7184107685627
117.000864028931,28.6538,6.79,4.22,1.60900473933649,64.8588354773189
118.500524282455,28.9168,6.82,4.24,1.60849056603774,64.763765883712
120.001070737839,28.696,6.8,4.22,1.61137440758294,65.296982300029
121.500466823578,28.7382,6.81,4.22,1.61374407582938,65.7351291227392
123.000447750092,28.8226,6.83,4.22,1.61848341232227,66.6114227681594
124.500560760498,28.8226,6.83,4.22,1.61848341232227,66.6114227681594
126.001195669174,28.7543,6.83,4.21,1.62232779097387,67.322240535169
127.500510931015,28.7543,6.83,4.21,1.62232779097387,67.322240535169
