now,temperature,device-temperature,back-prediction,forward-prediction,last-update-delay,now-temperature,period,power,predict-temperature,resistance,set-power,then-temperature,tuned-prediction
145.501,145.8,123,107.848422415421,111.01998957205,0.544,126.7,1.5,152.999,109.434205993736,2.79249,1,127.19,108.938015105521
147.001,136.9,123.6,113.980909307229,115.871339025208,0.544,127.2,1.5,1.481,114.926124166219,2.72727,1,127.66,114.192504324731
148.501,134.1,124.6,130.70897140816,127.412246641488,0.544,127.7,1.5,1.478,129.060609024824,2.70636,1,128.13,127.431283624401
150,133.1,125,131.620358351342,127.772338747255,0.544,128.1,1.5,1.482,129.696348549298,2.69906,1,128.59,127.978389916776
151.501,132.1,125.1,130.619230307708,126.804116796041,0.544,128.6,1.5,1.486,128.711673551874,2.69179,155,129.06,127.005891090587
153.001,144,125.4,127.179423250327,124.691736800249,0.544,129.1,1.5,150.046,125.935580025288,2.77899,155,129.53,124.452402841985
154.501,148.7,125.6,110.865246108545,113.908208200391,0.544,129.5,1.5,152.895,112.386727154468,2.81335,155,130,111.848129284098
156.001,152.4,126,113.108763195688,116.442012020208,0.544,130,1.5,153.468,114.775387607948,2.84082,1,130.47,114.262712498757
157.501,142.6,127.1,118.680996525196,120.687836065729,0.544,130.5,1.5,1.459,119.684416295462,2.7686,1,130.94,118.932516852645
159.001,139.7,128,136.208964589528,132.760150990682,0.544,130.9,1.5,1.456,134.484557790105,2.74725,1,131.41,132.793005775242
160.501,138.6,128.4,137.020351532709,133.023460018041,0.544,131.4,1.5,1.46,135.021905775375,2.73973,1,131.88,133.242994117549
162.001,137.6,128.7,136.125434547693,132.129099582623,0.544,131.9,1.5,1.464,134.127267065158,2.73224,1,132.34,132.354812394149
163.501,136.6,129,135.12430650406,131.160964871102,0.544,132.3,1.5,1.468,133.142635687581,2.7248,1,132.81,131.382248992502
165.001,135.6,129,134.123178460426,130.192810295031,0.544,132.8,1.5,1.472,132.157994377728,2.71739,155,133.28,130.409699898086
166.501,147.4,129.2,130.495473412713,127.927787022019,0.544,133.3,1.5,150.031,129.211630217366,2.80383,155,133.75,127.692306348486
168.001,152,129.2,114.032890006614,117.007006558539,0.544,133.8,1.5,153.049,115.519948282576,2.83769,155,134.22,114.946889974826
169.501,155.8,130,116.604795540584,119.797485195346,0.544,134.2,1.5,153.437,118.201140367965,2.86593,1,134.69,117.641068287049
171.001,145.7,130.9,121.540224056743,123.540008022864,0.544,134.7,1.5,1.447,122.540116039803,2.79167,1,135.16,121.765814260967
172.501,142.8,131.3,139.312348720429,135.761122332716,0.544,135.2,1.5,1.444,137.536735526573,2.77008,1,135.63,135.807966838075
174.001,141.7,132,140.123735663611,136.024401567447,0.544,135.6,1.5,1.448,138.074068615529,2.76243,1,136.09,136.25797558781
175.501,140.7,132.1,139.228818678595,135.130099755404,0.544,136.1,1.5,1.452,137.179459216999,2.75482,1,136.56,135.36975356901
