now,resistance,temperature,device-temperature
294.001,3.1648,198.701200877789,180.2
295.501,3.19683,203.085025034317,180.3
297.001,3.22154,206.466988659287,180.7
298.501,3.24284,209.382238566688,181.7
300.001,3.16038,198.096252305456,182.8
301.501,3.23328,208.073797763179,183.6
303.001,3.26512,212.431617343067,184
304.501,3.28631,215.331811969256,184.9
306.001,3.30554,217.963748857487,185.4
307.501,3.32338,220.405441737676,186.3
309.001,3.34131,222.85945257522,187.7
310.501,3.35833,225.188915177284,189
312.001,3.37444,227.393829543867,190.2
313.501,3.39111,229.675388978438,191.6
315.001,3.40737,231.900833273946,192.8
316.501,3.42316,234.061950458822,193.6
318.001,3.43802,236.095782084361,194.8
319.501,3.45294,238.13782568147,196.1
321.001,3.46793,240.189449912077,197.4
322.501,3.48244,242.175378370123,198.2
324.001,3.38954,229.460509055686,199.4
325.501,3.46077,239.209487971373,201.4
327.001,3.48745,242.86107799623,201.9
328.501,3.39527,230.244752340634,202.8
330.001,3.46863,240.285256247062,203.9
331.501,3.49686,244.148988870814,204.4
333.001,3.40678,231.820082220173,205
334.501,3.47853,241.640231556135,206
336.001,3.40102,231.03173294944,206.7
337.501,3.47492,241.146144599998,207
339.001,3.39527,230.244752340634,208
340.501,3.47024,240.505610817527,208.3
342.001,3.39527,230.244752340634,209.1
343.5,3.46917,240.359163991193,209.4
345.001,3.49793,244.295435697148,210
346.501,3.41256,232.611168814764,210.7
348.001,3.48436,242.438161460367,211.4
349.501,3.40678,231.820082220173,211.8
351.001,3.48121,242.007032952935,212
352.501,3.40678,231.820082220173,212.6
354.001,3.48174,242.079572035138,212.9
355.501,3.40678,231.820082220173,213
357.001,3.4796,241.78667838247,213.7
358.5,3.40678,231.820082220173,214
360.001,3.48067,241.933125208804,214.2
361.501,3.40678,231.820082220173,214.3
363.001,3.48067,241.933125208804,214.7
364.501,3.40678,231.820082220173,214.9
366.001,3.48282,242.2273875234,215.1
367.501,3.40678,231.820082220173,215.4
369.001,3.48282,242.2273875234,215.9
370.501,3.41256,232.611168814764,215.9
372.001,3.4849,242.512069204499,216
373.501,3.41256,232.611168814764,216.3
375.001,3.37838,227.933082343639,216.6
376.501,3.367,226.375545069169,216.7
378.001,3.3557,224.828957090126,216.7
379.501,3.34448,223.293318406509,216.2
381.001,3.33333,221.767260356391,216.2
382.501,3.32226,220.2521516017,215.9
384.001,3.31126,218.746623480507,215.4
385.501,3.30033,217.250675992813,214.7
387,3.28947,215.764309138617,214.2
388.501,3.28407,215.025231697304,213.8
390.001,3.27332,213.55392012432,213
391.501,3.26264,212.092189184835,212.8
393.001,3.25733,211.365429700877,212
394.501,3.24675,209.917385380675,211.3
396.001,3.24149,209.19746920636,210.7
397.5,3.23102,207.76448016737,210
399.001,3.22581,207.051407302696,209.7
400.5,3.21543,205.630736221061,208.3
402.001,3.21027,204.924506666029,208
403.501,3.20513,204.221014434853,207.2
405.001,3.19489,202.819504620216,206.3
406.501,3.18979,202.121487036754,205.6
408.001,3.18471,201.426206777148,204.7
409.501,3.1746,200.042489567579,204
411.001,3.16957,199.354052617616,203
412.501,3.15956,197.98402202733,202.8
414.001,3.15457,197.30105972508,201.9
415.501,3.14961,196.622203408615,201.2
417.001,3.13972,195.26859676147,200.1
418.501,3.1348,194.595215092718,199.2
420.001,3.12989,193.923202085895,198.3
421.501,3.125,193.253926402928,197.9
423,3.11526,191.920849684709,197
424.501,3.11042,191.258417311384,196.1
426.001,3.10559,190.597353599987,195.2
427.5,3.10078,189.939027212448,194.4
429.001,3.09598,189.282069486836,193.9
430.501,3.08642,187.973628683327,192.6
432.001,3.08166,187.322145605429,192.2
433.501,3.07692,186.673399851388,191.4
435,3.0722,186.027391421203,190.7
436.501,3.06279,184.739480546619,189.9
438.001,3.0581,184.09757810222,189
439.501,3.05344,183.459781643605,188.2
441.001,3.04878,182.821985184991,187.4
442.5,3.04414,182.186926050233,187
444.001,3.03951,181.553235577404,186.1
445.501,3.0303,180.292697941387,185.3
447,3.02572,179.6658507782,184.6
448.501,3.02115,179.04037227694,183.8
450.001,3.01659,178.416262437609,183
451.501,3.01205,177.794889922135,182.1
453,3.00752,177.17488606859,181.9
454.501,3.003,176.556250876972,181
456.001,2.9985,175.940353009212,180.2
457.501,2.98954,174.714031921404,179.4
459.001,2.98507,174.102240039428,178.6
460.501,2.98063,173.494554143238,178
462.001,2.97619,172.886868247047,177.6
463.501,2.97177,172.281919674713,176.9
465.001,2.96736,171.678339764308,176
466.501,2.96296,171.076128515831,175.2
468.001,2.95858,170.47665459121,174.3
469.501,2.94985,169.281812727755,173.6
471.001,2.94551,168.687813450848,172.9
472.501,2.94118,168.095182835869,172.6
474.001,2.93686,167.503920882819,172
475.501,2.93255,166.914027591697,171
477.001,2.92826,166.326871624432,170.8
478.501,2.92398,165.741084319095,170
480.001,2.91971,165.156665675686,169.3
481.501,2.91545,164.573615694206,168.6
483.001,2.91121,163.993303036583,168
484.501,2.90276,162.836783707121,167.3
486.001,2.89855,162.260577035283,166.6
487.501,2.89855,162.260577035283,166.1
489.001,2.89017,161.11363833932,165.1
490.501,2.886,160.542906315195,164.7
490.501,2.886,160.542906315195,164.7
